image_file,image_width,image_height,aspect_ratio,analysis_width,analysis_height,foreground_ratio,bg_type,layout_mode,component_count,largest_component_ratio,second_component_ratio,has_scale_bar,has_overlay_text,border_brightness_mean,border_brightness_std,problem_score,bg_color_r,bg_color_g,bg_color_b,foreground_ratio_bin
data/raw/images/Т-12-Р2-2698_orig.jpg,2160,3003,0.7192807192807192,115,160,0.36168478260869563,white_uniform,single_object,4,0.33353260869565216,0.012826086956521739,0,0,253.7977272727273,10.224702454803083,0.32950356730511965,255.0,255.0,255.0,ge_0.30
data/raw/images/Т-12-Р2-2699_orig.jpg,2352,3153,0.7459562321598477,119,160,0.3574579831932773,white_uniform,single_object,4,0.33277310924369746,0.010661764705882353,0,0,253.97603046594983,9.09990885844725,0.2930883505265433,255.0,255.0,255.0,ge_0.30
data/raw/images/Т-12-Р2-2712_orig.jpg,4020,1976,2.034412955465587,160,79,0.17626582278481012,white_uniform,close_up,8,0.12215189873417721,0.024604430379746835,0,0,253.0666841004184,12.004009044776225,0.7102073033052537,255.0,255.0,255.0,0.15_0.30
data/raw/images/Т-12-Р2-2714_orig.jpg,3912,4383,0.892539356605065,143,160,0.4446678321678322,white_uniform,multi_view,4,0.23173076923076924,0.19842657342657344,0,0,253.59172167216724,9.603742473454,0.7136846692641012,255.0,255.0,255.0,ge_0.30
data/raw/images/Т-12-Р2-2779_orig.jpg,5487,2880,1.9052083333333334,160,84,0.34910714285714284,white_uniform,multi_view,3,0.1709077380952381,0.16138392857142858,0,0,253.6878415300546,8.165370572094274,1.2445913639289836,255.0,255.0,255.0,ge_0.30
data/raw/images/Т-12-Р2-2780_orig.jpg,5804,2749,2.1113132048017462,160,76,0.40476973684210527,white_uniform,multi_view,4,0.20353618421052633,0.18675986842105263,0,0,252.902895480226,10.615086982868252,1.347310125838833,255.0,255.0,255.0,ge_0.30
data/raw/images/Т-12-Р2-2897_orig.jpg,2482,4375,0.5673142857142857,91,160,0.4533653846153846,white_uniform,single_object,4,0.27774725274725276,0.15947802197802197,0,0,253.2375498007968,10.920590970452754,0.5668418330271624,255.0,255.0,255.0,ge_0.30
data/raw/images/Т-12-Р2-2921_orig.jpg,3215,5250,0.6123809523809524,98,160,0.4479591836734694,white_uniform,multi_view,4,0.271875,0.16645408163265307,0,0,253.84665697674419,8.188166152681557,1.0904007189139497,255.0,255.0,255.0,ge_0.30
data/raw/images/Т-12-Р2-2924_orig.jpg,4224,5357,0.7885010266940452,126,160,0.43020833333333336,white_uniform,single_object,4,0.31140873015873016,0.11180555555555556,0,1,253.9744318181818,7.835753972913044,0.5376215704948629,255.0,255.0,255.0,ge_0.30
data/raw/images/Т-12-Р2-2946_orig.jpg,2565,3476,0.7379171461449943,118,160,0.3471927966101695,white_uniform,single_object,5,0.22277542372881357,0.10105932203389831,0,0,253.51258992805757,11.005754860747288,0.30392372878041274,255.0,255.0,255.0,ge_0.30
data/raw/images/Т-12-Р2-3013_orig.jpg,3745,4490,0.8340757238307349,133,160,0.524624060150376,white_uniform,multi_view,4,0.25972744360902256,0.256156015037594,0,0,253.63658987485778,9.6033201982388,0.7814310847849801,255.0,255.0,255.0,ge_0.30
data/raw/images/Т-12-Р2-3015_orig.jpg,3880,5191,0.7474475052976305,120,160,0.42744791666666665,white_uniform,multi_view,4,0.21421875,0.20640625,0,0,253.07328869047623,12.700007452112825,0.8910912032099099,255.0,255.0,255.0,ge_0.30
data/raw/images/Т-12-Р2-3017_orig.jpg,3732,4677,0.7979474021808852,128,160,0.464697265625,white_uniform,multi_view,4,0.22998046875,0.22646484375,0,0,254.2890625,6.887283356865783,0.8257125957586517,255.0,255.0,255.0,ge_0.30
data/raw/images/Т-12-Р2-3018_orig.jpg,4264,5246,0.8128097598170034,130,160,0.54625,white_uniform,multi_view,3,0.27778846153846154,0.2622596153846154,0,0,253.64389367816094,9.009434368272252,0.8072581945811385,255.0,255.0,255.0,ge_0.30
data/raw/images/Т-12-Р2-3023_orig.jpg,4704,4988,0.9430633520449078,151,160,0.47144039735099336,white_uniform,multi_view,4,0.23547185430463577,0.22897350993377483,0,0,253.90856109324758,8.172863538066842,0.6586218172214642,255.0,255.0,255.0,ge_0.30
data/raw/images/Т-12-Р3-1007_orig.jpg,3410,7794,0.43751603797793176,70,160,0.36357142857142855,white_uniform,single_object,5,0.1742857142857143,0.12919642857142857,0,0,253.66585144927538,7.21190009349887,0.826641915621092,255.0,255.0,255.0,ge_0.30
data/raw/images/Т-12-Р3-1008_orig.jpg,3300,7275,0.4536082474226804,73,160,0.2803082191780822,white_uniform,single_object,7,0.12440068493150686,0.09092465753424657,0,0,254.27458869814018,5.9200110798161925,0.7905213445851217,255.0,255.0,255.0,0.15_0.30
data/raw/images/Т-12-Р3-1009_orig.jpg,4199,2836,1.4806064880112835,160,108,0.3742476851851852,white_uniform,single_object,5,0.26394675925925926,0.0943287037037037,0,0,253.4050839552239,10.698651326133374,0.39245179303217514,255.0,255.0,255.0,ge_0.30
data/raw/images/Т-12-Р3-1031_orig.jpg,8831,3605,2.4496532593619973,160,65,0.27807692307692305,white_uniform,single_object,6,0.12653846153846154,0.11384615384615385,0,0,253.8813888888889,6.537945220068557,0.8959464877497528,255.0,255.0,255.0,0.15_0.30
data/raw/images/Т-12-Р3-1065_orig.jpg,6320,3992,1.5831663326653307,160,101,0.30228960396039606,white_uniform,single_object,4,0.1369430693069307,0.13162128712871288,0,0,254.10600255427838,6.694739913798252,0.45942684970954856,255.0,255.0,255.0,ge_0.30
data/raw/images/Т-12-Р3-1093_orig.jpg,3095,3430,0.902332361516035,144,160,0.14526909722222223,white_uniform,close_up,7,0.08068576388888889,0.039713541666666664,0,0,253.84827302631578,9.335575277804892,0.10277235504128908,255.0,255.0,255.0,0.08_0.15
data/raw/images/Т-12-Р3-1124_orig.jpg,3742,7949,0.47075103786639827,75,160,0.1685,white_uniform,close_up,8,0.07791666666666666,0.03741666666666667,0,0,254.14308510638298,5.920127301586392,0.7534259067390777,255.0,255.0,255.0,0.15_0.30
data/raw/images/Т-12-Р3-1540_orig.jpg,5349,2619,2.042382588774341,160,78,0.3088141025641026,white_uniform,single_object,4,0.2094551282051282,0.08501602564102564,0,0,253.37141106442576,10.123950690519022,0.7141170620235381,255.0,255.0,255.0,ge_0.30
data/raw/images/Т-12-Р3-1541_orig.jpg,4359,5158,0.8450949980612641,135,160,0.4208796296296296,white_uniform,multi_view,4,0.23398148148148148,0.1749537037037037,0,0,254.03347457627117,7.513246931436732,0.7683062342028975,255.0,255.0,255.0,ge_0.30
data/raw/images/Т-12-Р3-1550_orig.jpg,2748,2821,0.9741226515420064,156,160,0.4734375,white_uniform,multi_view,5,0.2733573717948718,0.1842147435897436,0,0,253.23714398734177,12.580804209775728,0.6262180576597562,255.0,255.0,255.0,ge_0.30
data/raw/images/Т-12-Р3-1567_orig.jpg,5352,6324,0.8462998102466793,135,160,0.3501851851851852,white_uniform,single_object,5,0.14407407407407408,0.14222222222222222,0,1,254.33156779661016,5.879151911885824,0.46688159652129824,255.0,255.0,255.0,ge_0.30
data/raw/images/Т-12-Р3-1568_orig.jpg,3174,7599,0.4176865377023293,67,160,0.5300373134328358,light_photo,multi_view,5,0.2114738805970149,0.21063432835820894,0,0,246.39390602055803,26.510680935912127,1.4730240375834305,255.0,255.0,255.0,ge_0.30
data/raw/images/Т-12-Р3-1569_orig.jpg,8127,3694,2.2000541418516515,160,73,0.4348458904109589,white_uniform,multi_view,5,0.1733732876712329,0.1696917808219178,0,0,252.53648068669528,14.07930158283105,1.3884819699940196,255.0,255.0,255.0,ge_0.30
data/raw/images/Т-12-Р3-1570_orig.jpg,7604,4714,1.6130674586338567,160,99,0.3325757575757576,white_uniform,single_object,5,0.1490530303030303,0.1167929292929293,0,0,254.4280888030888,4.928753260464427,0.4781376201122434,255.0,255.0,255.0,ge_0.30
data/raw/images/Т-12-Р3-1574_orig.jpg,8443,3349,2.521051060017916,160,63,0.4396825396825397,white_uniform,single_object,5,0.13690476190476192,0.1353174603174603,0,0,249.91423766816143,17.76062407105784,0.9246759018752954,255.0,255.0,255.0,ge_0.30
data/raw/images/Т-12-Р3-1575_orig.jpg,3472,6153,0.5642775881683731,90,160,0.45958333333333334,white_uniform,single_object,5,0.1736111111111111,0.15666666666666668,0,0,253.44875,9.586691359133129,0.5722089709602495,255.0,255.0,255.0,ge_0.30
data/raw/images/Т-12-Р3-1578_orig.jpg,6164,3982,1.5479658463083878,160,103,0.4209344660194175,white_uniform,multi_view,4,0.2133495145631068,0.19478155339805825,0,0,254.09988910012677,6.89448954209105,1.0369417118158648,255.0,255.0,255.0,ge_0.30
data/raw/images/Т-12-Р3-1581_orig.jpg,6528,4749,1.3746051800379027,160,116,0.29800646551724136,white_uniform,single_object,5,0.14358836206896552,0.08302801724137931,0,0,253.8250301932367,8.327463603011115,0.31816654809482103,255.0,255.0,255.0,0.15_0.30
